"id","Completed","003","0002","0004","0005","0001","0001","0001","0001","0001","0001","0002","0001","0002","0001","0002","0001","0002","0001","0002","0001","0001","0001","0002","0001","0002","0001","0002","0003","0004","0005","0006","0007","0008","0009","0010","0011","0012","0013","0014","0015","0007 [Répliques]","0007 [Musique]","0007 [Qualité de l'histoire]","0007 [Revoir un film plusieurs fois sans se lasser]","0007 [L'avoir vu enfant]","0007 [Porteur d'émotion]"
"30","Y","21","Homme","France ","Oui","Répliques","Yes","Star Wars","No","","Yes","Le Roi Lion","Yes","Titanic","Yes","Star Wars","No","","Yes","La Roi Lion","Yes","Le Seigneur des Anneaux","Yes","Terminator","Yes","Le Seigneur des Anneaux","","2-5 fois","0-10 years old","","2-5 fois","0-10 years old","","1 fois","11-20 years old","","2-5 fois","11-20 years old","","1 fois","11-20 years old","D'accord","D'accord","D'accord","D'accord","Pas d'accord","Plutôt d'accord"
"31","Y","22","Homme","France ","Oui","Répliques","Yes","Star Wars","No","","Yes","Le Roi Lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le Roi Lion","No","","No","","Yes","Seigneur des anneaux","","1 fois","11-20 years old","","0 fois","","","0 fois","","","2-5 fois","11-20 years old","","0 fois","","Plutôt d'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","Plutôt d'accord"
"32","Y","21","Homme","France ","Oui","Répliques","Yes","Star Wars V","No","","Yes","Le Roi lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le Roi lion","Yes","Le Seigneur des anneaux","Yes","Terminator","Yes","Le Seigneur des anneaux","","Plus de 5 fois","0-10 years old","","Plus de 5 fois","0-10 years old","","2-5 fois","0-10 years old","","Plus de 5 fois","11-20 years old","","0 fois","","D'accord","D'accord","D'accord","D'accord","D'accord","D'accord"
"33","Y","22","Femme","France ","Oui","Musique","Yes","Star Wars V : L'Empire Contre Attaque","No","","Yes","Le Roi Lion (Hakuna Matataaaa)","Yes","Titanic (AND MY HEART WILL GO ON AND OOOOOON)","Yes","Star Wars (encore ?)","Yes","Titanic","Yes","Le Roi Lion","Yes","Le Seigneur des Anneaux ","No","","Yes","Le Seigneur des Anneaux : La Communauté de l'Anneau","","2-5 fois","11-20 years old","","Plus de 5 fois","0-10 years old","","2-5 fois","0-10 years old","","Plus de 5 fois","11-20 years old","","0 fois","","Plutôt d'accord","D'accord","D'accord","Plutôt d'accord","Neutre","Plutôt d'accord"
"34","Y","24","Homme","France ","Oui","Répliques","Yes","Star Wars - Episode V","No","","Yes","Le Roi Lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le Roi Lion","Yes","Le Seigneur des Anneaux","No","","Yes","Le Seigneur des Anneaux 1","","Plus de 5 fois","11-20 years old","","2-5 fois","0-10 years old","","2-5 fois","0-10 years old","","Plus de 5 fois","11-20 years old","","0 fois","","D'accord","D'accord","D'accord","Neutre","Plutôt pas d'accord","D'accord"
"35","Y","22","Homme","France ","Oui","Musique","Yes","Star Wars - L'Empire Contre Attaque","Yes","Terminator","Yes","Le Roi Lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le Roi Lion","Yes","Le Seigneur Des Anneaux","Yes","Terminator","Yes","Le Seigneur Des Anneaux","","Plus de 5 fois","0-10 years old","","Plus de 5 fois","0-10 years old","","2-5 fois","11-20 years old","","1 fois","11-20 years old","","2-5 fois","11-20 years old","Neutre","D'accord","Plutôt d'accord","Plutôt d'accord","D'accord","D'accord"
"36","Y","23","Homme","Nouvelle-Zélande ","Oui","Musique","Yes","Star Wars épisode IV L'empire contre attaque","Yes","Terminator","Yes","Le roi Lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le roi lion","Yes","Le seigneur des anneaux","Yes","Terminator","Yes","Le seigneur des anneaux","","2-5 fois","0-10 years old","","1 fois","0-10 years old","","1 fois","11-20 years old","","2-5 fois","11-20 years old","","1 fois","11-20 years old","Neutre","D'accord","D'accord","D'accord","Neutre","D'accord"
"37","Y","23","Homme","France ","Oui","Musique","Yes","star wars : l'empire contre attaque","Yes","terminator","Yes","roi lion","Yes","titanic","Yes","star wars","Yes","titanic","Yes","le roi lion","Yes","Le seigneur des anneaux","Yes","terminator","Yes","Le seigneur des anneaux 1","","Plus de 5 fois","0-10 years old","","Plus de 5 fois","0-10 years old","","2-5 fois","11-20 years old","","Plus de 5 fois","11-20 years old","","2-5 fois","11-20 years old","Plutôt d'accord","D'accord","D'accord","Neutre","Neutre","Plutôt d'accord"
"38","Y","22","Homme","France ","Oui","Répliques","Yes","Star Wars","No","","No","","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le Roi Lion","No","","Yes","Terminator","Yes","Le Seigneur des Anneaux","","0 fois","","","2-5 fois","0-10 years old","","1 fois","11-20 years old","","0 fois","","","1 fois","11-20 years old","D'accord","D'accord","D'accord","Plutôt d'accord","Pas d'accord","Plutôt d'accord"
"41","Y","24","Homme","France ","Oui","Musique","Yes","Star Wars: L'Empire contre-Attaque","Yes","Terminator","Yes","Le roi Lion","Yes","Titanic","Yes","Star Wars (theme de l'Empire)","Yes","Titanic","Yes","Le roi Lion","Yes","Le seigneur des Anneaux (Pour Frodon !)","Yes","Terminator","Yes","Le seigneur des Anneaux","","2-5 fois","0-10 years old","","Plus de 5 fois","0-10 years old","","2-5 fois","0-10 years old","","Plus de 5 fois","0-10 years old","","0 fois","","D'accord","D'accord","D'accord","D'accord","Neutre","Neutre"
